												
												
User: USER												
Path: C:\Program Files\BMG\Omega\User\Data\												
Test ID: 10036												
Test Name: Suelen_PRESTO												
Date: 2022-03-05												
Time: 12:48:08												
Fluorescence (FI)												
												
												
												
	Raw Data (EX 544/590)											
	1	2	3	4	5	6	7	8	9	10	11	12
A	44632	48145	47086	39098	41533	37693	40323	31273	29001	7378	29286	26701
B	39429	35332	35091	34410	38030	35848	31640	33210	23452	6879	26927	35132
C	35733	32112	37339	37713	36636	34275	37576	36969	33897	6838	28979	36115
D	37897	36468	38070	37318	39302	34777	36708	37197	34031	6889	30327	32864
E	42215	37300	36526	37447	37387	38984	35561	37609	33164	13316	30725	29289
F	37902	33083	33108	33685	34958	37514	35575	34989	32946	37403	33066	23719
G	42453	34476	33133	36481	37493	37660	36437	27697	25865	34003	23745	25786
H	5406	4443	4955	4963	4644	5161	5519	4463	5221	5100	4943	5159
