												
												
User: USER												
Path: C:\Program Files\BMG\Omega\User\Data\												
Test ID: 9987												
Test Name: Suelen_PRESTO												
Date: 2022-02-24												
Time: 15:08:41												
Fluorescence (FI)												
												
												
												
	Raw Data (EX 544/590)											
	1	2	3	4	5	6	7	8	9	10	11	12
A	NA	58165	53369	53542	55038	50052	48230	49451	47130	45366	39599	52508
B	52595	50627	51309	47737	49019	43284	37791	39920	37888	36026	30857	63354
C	56159	52323	45450	47484	46823	42841	43656	36660	38902	35535	37173	53111
D	57050	48175	46455	48996	44500	44618	43832	44874	41807	34334	32714	50392
E	60546	49925	48858	48744	44686	44494	46159	42371	40422	41920	31889	47285
F	63492	54680	44743	50591	47573	43482	45943	32962	41416	37713	38080	39687
G	60090	51729	54222	50287	52531	48197	45068	55932	45128	49233	40830	59435
H	3648	5529	5298	5337	5492	5376	5374	5570	5324	5554	5818	5654
