												
												
User: USER												
Path: C:\Program Files\BMG\Omega\User\Data\												
Test ID: 10037												
Test Name: Suelen_PRESTO												
Date: 2022-03-05												
Time: 12:50:17												
Fluorescence (FI)												
												
												
												
	Raw Data (EX 544/590)											
	1	2	3	4	5	6	7	8	9	10	11	12
A	NA	30175	26317	30216	30044	27963	26506	35660	28576	23870	5147	30882
B	24258	24638	26877	24501	25049	23088	20306	19229	19673	19152	4974	23628
C	22561	24363	26174	25172	24961	24312	21758	19815	20880	18252	4283	20152
D	23550	22986	23995	24570	25838	23737	21056	20717	21038	17740	4387	18538
E	23466	23103	24342	24725	25324	23852	21994	19894	20086	20038	5589	18519
F	24974	23283	24070	25333	23138	21489	21180	19158	20292	18958	25216	19294
G	27145	23777	22911	22524	22925	21629	20383	18742	19103	18413	22587	19206
H	2997	3245	2594	3502	3577	3886	3236	3308	3532	3200	3118	3093
