												
												
User: USER												
Path: C:\Program Files\BMG\Omega\User\Data\												
Test ID: 10166												
Test Name: Suelen_PRESTO												
Date: 2022-03-30												
Time: 12:22:38												
Fluorescence (FI)												
												
												
												
	Raw Data (EX 544/590)											
	1	2	3	4	5	6	7	8	9	10	11	12
A	14147	12448	12642	34388	32586	34217	4312	4269	4342	5959	61154	50264
B	30822	35044	32884	46016	48455	47449	4418	4555	4569	5925	58256	44186
C	35257	41871	42413	47280	49293	53098	25032	23919	5447	5890	49727	46948
D	35615	37115	38448	51998	50988	50845	29964	28199	20391	5746	51921	45132
E	35902	36668	38487	50918	46129	44295	29635	29354	22308	15466	52963	47499
F	38885	36193	33245	47989	47647	44418	28195	29366	24194	51427	51591	45850
G	45365	37758	37038	49098	49458	41231	30860	31671	25968	41077	46598	40718
H	4594	4520	4497	4408	4427	4436	4436	4467	4409	4408	4422	4270
