																								
																								
User: USER																								
Path: C:\Program Files\BMG\Omega\User\Data\																								
Test ID: 9824																								
Test Name: Paula_resazurina																								
Date: 2021-12-23																								
Time: 11:07:28																								
Fluorescence (FI)																								
																								
																								
																								
	Raw Data (EX 544/590)																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	143249	1556	186463	1307	188297	1250	152010	860	148319	778	158433	697	130345	646	120374	569	147535	689	164967	577	168308	626	169212	321
B	558	270	659	267	579	263	548	263	541	256	363	254	314	232	314	249	344	267	583	267	602	273	619	264
C	146202	1469	233644	993	184847	1156	174303	906	227404	399	48790	312	23375	318	24978	333	38163	609	198804	553	201008	632	204874	339
D	492	257	583	259	508	246	340	237	355	254	266	252	398	254	399	266	422	252	333	260	394	252	374	245
E	140196	1394	234103	1090	212616	328	9493	268	10720	272	9900	626	149550	624	134401	3159	130381	543	106579	524	116589	572	127705	285
F	494	261	540	256	472	256	269	248	268	244	262	245	312	248	313	255	304	248	335	252	328	260	342	245
G	202121	1498	220039	984	173528	339	13491	321	14755	299	14255	284	11625	284	12836	287	13395	283	12717	272	13961	272	15751	236
H	495	267	523	245	461	246	252	240	261	242	258	243	338	250	270	257	275	261	407	249	389	265	431	254
I	158575	1499	195408	1043	191283	322	8990	268	8420	283	8319	964	207101	1160	226444	961	250154	704	208025	643	212633	663	209241	318
J	513	267	507	261	492	251	255	238	257	240	250	257	390	260	437	256	449	263	467	265	396	271	565	256
K	183954	1367	179693	1170	188817	317	7718	273	7870	269	8276	553	90163	738	108664	568	113379	971	260000	1069	217690	740	223662	294
L	446	260	382	274	375	251	282	242	284	244	283	256	330	261	335	257	410	269	464	299	433	273	462	258
M	203290	1648	215182	1442	200805	431	43912	374	47716	378	49897	1230	232785	1335	205040	901	175051	878	225551	797	241658	908	250837	297
N	624	282	625	272	630	263	508	255	500	259	504	268	565	272	557	272	547	263	410	266	412	258	496	246
O	184862	1387	177761	1208	169057	1206	175187	910	181013	866	196797	1024	212981	999	209662	885	228328	334	10998	280	11639	376	55877	378
P	348	263	343	256	342	251	322	261	311	255	338	266	362	263	329	257	370	256	254	245	262	252	288	235
