																								
																								
User: USER																								
Path: C:\Program Files\BMG\Omega\User\Data\																								
Test ID: 9823																								
Test Name: Paula_resazurina																								
Date: 2021-12-22																								
Time: 10:50:13																								
Fluorescence (FI)																								
																								
																								
																								
	Raw Data (EX 544/590)																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	10	11	12	13	14	15	139628	572	140205	518	148935	594	191689	599	206628	517	221029	500	201719	437	200917	469	195697	306
B	11	12	13	14	15	16	576	248	539	252	485	235	322	241	336	246	333	248	435	253	450	263	500	251
C	12	13	14	15	16	17	176869	659	199887	577	174759	294	9476	265	10053	259	9791	467	142427	528	191593	469	191411	301
D	13	14	15	16	17	18	520	245	513	242	474	234	412	238	424	222	393	242	396	244	488	263	557	293
E	14	15	16	17	18	19	164820	682	203703	640	197016	641	164549	642	161672	535	168973	446	148194	508	188774	565	176614	291
F	15	16	17	18	19	20	480	248	501	258	465	242	415	248	445	253	447	238	325	243	344	243	339	239
G	16	17	18	19	20	21	192486	690	196460	591	198841	659	205156	792	212958	764	233156	296	8240	250	8162	251	7595	241
H	17	18	19	20	21	22	446	247	463	255	439	254	479	249	419	244	487	241	240	226	248	250	259	233
I	18	19	20	21	22	23	219091	668	220301	555	208425	732	241893	703	220062	594	222245	374	13721	244	13774	264	17312	245
J	19	20	21	22	23	24	496	240	445	250	455	263	613	261	438	246	450	243	358	233	384	245	396	260
K	20	21	22	23	24	25	188638	665	178937	679	175078	1068	183251	742	176406	570	180686	626	190202	567	186558	705	210233	413
L	21	22	23	24	25	26	476	238	479	252	448	255	427	241	436	241	397	248	512	244	502	261	467	244
M	22	23	24	25	26	27	155933	753	159434	677	162697	483	105258	536	138362	434	91245	625	197710	587	185265	562	183123	287
N	23	24	25	26	27	28	546	249	513	254	590	251	303	244	321	240	301	239	349	235	323	247	362	238
O	24	25	26	27	28	29	227620	896	239918	837	260000	332	18185	295	18905	297	19397	264	8290	273	8846	278	10296	246
P	25	26	27	28	29	30	323	253	343	241	374	242	236	236	246	230	243	232	240	228	236	233	243	228
