																								
																								
User: USER																								
Path: C:\Program Files\BMG\Omega\User\Data\																								
Test ID: 10073																								
Test Name: Paula_resazurina																								
Date: 2022-03-10																								
Time: 11:20:51																								
Fluorescence (FI)																								
																								
																								
																								
	Raw Data (EX 544/590)																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	191344	907	155279	726	150536	899	200940	722	209950	624	222959	700	196202	701	194272	577	218779	324	8320	260	7890	262	7859	276
B	599	269	678	264	537	265	382	254	340	265	382	260	474	269	474	259	491	272	362	262	392	260	401	269
C	139488	838	163793	779	166852	349	19623	279	16535	306	24265	731	203321	656	190574	793	218340	526	167901	506	173941	476	165719	308
D	635	265	576	259	486	263	460	261	520	284	460	260	534	266	512	261	504	269	458	271	474	276	503	274
E	213540	990	177524	848	229108	887	185872	649	188621	629	207438	720	186814	728	208922	598	221351	561	201103	533	204922	631	201427	324
F	512	254	537	263	589	298	546	502	862	274	496	257	462	267	545	260	520	266	368	261	382	272	370	266
G	167680	1162	174380	916	193769	797	187806	768	200413	597	199148	612	178794	744	200730	596	198668	308	6834	262	7001	271	6739	260
H	526	272	518	266	537	255	473	264	483	260	478	258	462	267	478	270	456	260	306	254	343	255	376	249
I	153808	1051	170409	878	167280	1003	201187	760	195375	685	212618	744	186969	872	216133	644	207383	668	220201	625	208517	587	197349	311
J	517	267	520	260	494	264	504	263	507	261	524	264	499	264	502	264	473	265	476	260	530	278	467	280
K	172060	1333	187530	950	186276	1013	194106	723	199857	748	221013	769	194732	819	199807	644	207899	651	216202	522	172098	651	207755	318
L	470	271	452	259	472	265	451	261	514	270	536	280	513	264	489	269	473	262	381	263	388	261	382	253
M	99315	803	102632	722	105942	847	183836	788	199984	740	236610	727	182598	730	171484	777	187932	332	6166	255	5465	261	5725	253
N	527	271	639	265	508	260	565	268	521	262	532	263	357	251	348	262	358	255	266	241	244	249	264	241
O	177435	1351	199538	1274	197466	963	156642	840	166347	637	129783	307	6956	273	6881	268	6965	257	5261	263	4970	259	5624	242
P	327	266	325	263	363	268	320	256	325	250	325	253	259	246	244	251	255	241	252	240	243	245	254	252
