																								
																								
User: USER																								
Path: C:\Program Files\BMG\Omega\User\Data\																								
Test ID: 9809																								
Test Name: Paula_resazurina																								
Date: 2021-12-15																								
Time: 10:01:47																								
Fluorescence (FI)																								
																								
																								
																								
	Raw Data (EX 544/590)																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	87323	576	55413	666	97443	715	73319	711	125048	673	159371	591	118230	606	125426	453	85789	552	183283	493	172409	538	165514	316
B	393	261	444	248	393	237	409	245	433	262	461	251	325	252	324	250	391	263	487	259	547	270	550	270
C	141749	1108	198618	962	185728	756	120699	704	169811	659	173054	694	130924	709	151298	569	153399	672	216559	670	228875	565	212759	310
D	389	249	422	244	406	245	361	250	390	245	391	260	388	252	416	242	434	254	329	255	402	264	379	265
E	82679	984	84570	698	165283	645	106067	551	146164	478	115965	513	103193	495	97347	454	121088	420	96951	349	80966	399	88397	285
F	360	243	357	241	411	253	305	240	336	251	330	242	358	253	366	242	388	243	386	260	331	255	429	252
G	113283	685	82356	555	93588	526	83034	456	83893	363	63226	465	130370	500	105653	443	112189	452	120438	407	101519	414	111898	287
H	389	252	373	253	378	244	345	251	420	258	356	243	331	241	293	255	323	243	359	248	360	257	353	252
I	68191	617	76142	611	88581	527	91103	524	166990	546	214082	704	144354	240	282	295	15613	341	83631	353	77931	329	69876	270
J	346	244	350	239	386	237	347	248	374	247	376	248	430	248	258	237	343	247	327	247	360	252	350	256
K	85720	675	103588	419	74781	571	72995	466	120060	510	102103	501	124717	743	161420	465	146220	508	185204	464	138543	634	114880	1557
L	358	247	361	240	343	238	334	239	375	247	401	249	344	248	422	249	386	248	445	253	465	259	420	249
M	66594	725	117677	583	110785	440	85287	437	102557	383	105002	406	79733	484	138457	477	150335	467	142214	10318	132478	1751	145674	506
N	338	254	462	249	362	257	329	241	349	251	364	254	364	247	407	251	456	275	358	260	351	270	344	255
O	100338	618	134654	469	99280	447	76572	462	94913	435	106618	411	98421	447	106112	416	117046	318	9091	309	7924	252	6867	255
P	367	252	341	239	323	232	289	271	373	250	328	242	281	246	305	240	296	252	248	233	241	239	251	240
