																								
																								
User: USER																								
Path: C:\Program Files\BMG\Omega\User\Data\																								
Test ID: 9818																								
Test Name: Paula_resazurina																								
Date: 2021-12-17																								
Time: 11:29:25																								
Fluorescence (FI)																								
																								
																								
																								
	Raw Data (EX 544/590)																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	130423	649	100345	754	147892	517	143687	492	208069	437	177418	491	146784	466	142821	397	175100	343	65052	290	55834	286	51878	269
B	648	265	672	254	514	248	496	248	433	250	432	248	516	250	537	260	467	246	301	243	318	249	304	246
C	177559	627	168408	626	153451	461	88262	369	88436	347	84665	563	237587	539	259300	524	259594	369	49076	297	54079	292	47051	272
D	424	249	413	249	315	241	453	248	502	240	736	244	472	254	533	252	496	255	396	239	410	262	428	254
E	109266	540	99178	410	106693	534	171428	504	236971	406	138608	417	119942	462	151040	487	211204	426	185494	439	236104	509	224039	336
F	459	256	469	243	453	241	331	230	342	242	293	236	295	255	356	242	460	247	387	255	439	254	410	259
G	113050	689	143761	468	124580	346	37723	293	40510	280	38187	475	190776	583	185960	412	93697	333	92555	327	103461	377	110556	288
H	316	243	308	228	306	248	356	229	360	232	359	236	530	254	437	240	385	245	347	237	363	250	410	250
I	14362	274	14442	269	14692	441	114978	406	132442	423	163700	583	253185	577	210152	440	183460	417	145404	400	131105	406	178815	310
J	333	231	246	234	272	231	398	236	445	250	384	253	457	249	435	252	440	251	423	255	421	256	444	252
K	87673	618	95914	547	127665	627	159412	474	183088	408	93903	519	162135	559	167325	432	144366	444	154928	415	172506	483	186511	335
L	331	241	331	244	370	244	365	242	315	245	306	235	445	241	453	253	403	250	333	247	463	245	360	251
M	35558	352	38140	372	37184	518	129859	542	149434	510	179919	431	142442	458	147893	455	145515	494	175288	563	179360	467	164586	259
N	414	255	497	245	469	245	502	244	518	249	557	259	337	248	550	255	470	250	364	244	343	258	388	241
O	127797	834	177000	852	209573	641	155449	611	182326	516	159991	654	200235	614	193134	541	188002	320	7894	257	8199	252	8322	249
P	303	249	320	246	369	244	303	245	355	255	316	246	339	253	342	249	326	240	242	228	240	235	241	235
