																								
																								
User: USER																								
Path: C:\Program Files\BMG\Omega\User\Data\																								
Test ID: 9823																								
Test Name: Paula_resazurina																								
Date: 2021-12-22																								
Time: 10:50:13																								
Fluorescence (FI)																								
																								
																								
																								
	Raw Data (EX 544/590)																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	92848	620	105037	481	89259	2	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
B	478	251	456	243	373	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
C	101479	594	91798	550	103843	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
D	501	243	501	242	424	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
E	122185	770	127872	677	133963	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
F	337	248	340	236	353	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
G	53338	462	44553	403	48232	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
H	321	231	306	226	330	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
I	49422	457	52541	481	72424	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
J	274	230	288	240	298	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
K	22247	372	26934	343	27488	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
L	263	236	261	236	256	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
M	14335	279	10364	282	12698	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
N	323	236	351	232	327	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
O	64854	692	68589	636	73144	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
P	269	240	266	230	277	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
