																								
																								
User: USER																								
Path: C:\Program Files\BMG\Omega\User\Data\																								
Test ID: 9836																								
Test Name: Paula_resazurina																								
Date: 2022-01-13																								
Time: 12:19:02																								
Fluorescence (FI)																								
																								
																								
																								
	Raw Data (EX 544/590)																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	11126	346	14912	296	13018	312	19576	302	17147	289	19649	312	27030	306	26626	291	25201	272	7700	261	8538	263	8081	262
B	292	242	289	246	278	236	311	245	288	249	264	238	296	242	282	253	287	261	446	259	543	261	478	255
C	14995	313	13866	309	17087	332	24631	296	18568	307	24695	305	23053	309	24444	292	25638	619	222668	715	252398	571	235514	318
D	283	250	277	252	280	244	308	252	321	246	310	248	278	251	299	235	283	260	1257	267	348	273	383	262
E	14443	310	14195	287	16041	372	35674	363	56009	333	43064	303	26464	319	28248	294	29280	259	258	254	248	255	257	259
F	467	257	421	255	455	253	325	248	336	253	328	237	285	247	277	247	283	246	255	241	240	249	259	264
G	160572	862	123815	872	156688	447	55340	394	60780	346	54924	303	27404	316	28049	300	30204	258	251	252	241	253	247	245
H	605	263	534	259	549	258	317	244	324	253	315	242	285	250	276	254	282	248	232	235	245	252	239	253
I	205712	1222	195423	1115	215841	480	49034	387	51633	363	55876	325	31168	321	29538	309	32357	254	254	236	248	244	239	257
J	522	264	647	261	478	253	330	253	321	249	320	253	282	248	282	251	286	251	254	247	244	244	252	254
K	122171	1217	171814	713	112355	505	56499	413	60506	407	57221	340	32265	355	32885	324	37924	264	254	240	249	248	261	252
L	466	257	507	256	441	258	380	248	366	256	370	248	300	263	295	248	393	247	257	244	247	249	255	250
M	115520	1103	148522	853	127122	570	83820	507	79787	477	101587	345	33178	346	34667	567	143317	314	262	246	247	246	245	255
N	462	265	518	256	450	273	545	261	445	274	1483	262	304	261	388	262	564	259	246	244	234	253	254	245
O	105699	892	108129	861	113482	1113	180876	729	132076	879	211027	430	45353	558	88658	766	200228	366	258	254	250	253	264	250
P	297	254	304	249	310	255	350	253	316	258	363	259	279	262	290	252	351	249	249	244	238	244	254	251
