Gene	Sample	Concentration
gyr_reference	AIP_A_BR_1	21.7
gyr_reference	AIP_A_BR_1	30.5
gyr_reference	AIP_B_BR_1	63.7
gyr_reference	AIP_B_BR_1	47
gyr_reference	AIP_A_BR_2	33.6
gyr_reference	AIP_A_BR_2	34.4
gyr_reference	AIP_B_BR_2	38.1
gyr_reference	AIP_B_BR_2	37.2
gyr_reference	AIP_A_BR_3	8.3
gyr_reference	AIP_A_BR_3	7.7
gyr_reference	AIP_B_BR_3	10.7
gyr_reference	AIP_B_BR_3	9.1
gyr_reference	SUP_A_BR_1	25.7
gyr_reference	SUP_A_BR_1	17.8
gyr_reference	SUP_B_BR_1	14.6
gyr_reference	SUP_B_BR_1	16.7
gyr_reference	SUP_A_BR_2	75.8
gyr_reference	SUP_A_BR_2	80.8
gyr_reference	SUP_B_BR_2	27.5
gyr_reference	SUP_B_BR_2	25.7
gyr_reference	SUP_A_BR_3	201
gyr_reference	SUP_A_BR_3	208
gyr_reference	SUP_B_BR_3	77.3
gyr_reference	SUP_B_BR_3	80.7
gyr_reference	ACN_A_BR_1	7.7
gyr_reference	ACN_A_BR_1	8.6
gyr_reference	ACN_B_BR_1	7.8
gyr_reference	ACN_B_BR_1	5.8
gyr_reference	ACN_A_BR_2	15.5
gyr_reference	ACN_A_BR_2	14.1
gyr_reference	ACN_B_BR_2	9.6
gyr_reference	ACN_B_BR_2	8.8
gyr_reference	ACN_A_BR_3	51.7
gyr_reference	ACN_A_BR_3	52.3
gyr_reference	ACN_B_BR_3	29.2
gyr_reference	ACN_B_BR_3	13.5
gyr_reference	MED_A_BR_1	2.3
gyr_reference	MED_A_BR_1	1.7
gyr_reference	MED_B_BR_1	10.9
gyr_reference	MED_B_BR_1	7.3
gyr_reference	MED_A_BR_2	18.9
gyr_reference	MED_A_BR_2	19.7
gyr_reference	MED_B_BR_2	24.6
gyr_reference	MED_B_BR_2	28.4
gyr_reference	MED_A_BR_3	21.5
gyr_reference	MED_A_BR_3	22.2
gyr_reference	MED_B_BR_3	33.7
gyr_reference	MED_B_BR_3	34.4
gyr_reference	N10_A_BR_1	82
gyr_reference	N10_A_BR_1	66.6
gyr_reference	N10_B_BR_1	95.8
gyr_reference	N10_B_BR_1	82.2
gyr_reference	N10_A_BR_2	44.2
gyr_reference	N10_A_BR_2	47.4
gyr_reference	N10_B_BR_2	121
gyr_reference	N10_B_BR_2	118
gyr_reference	N10_A_BR_3	130
gyr_reference	N10_A_BR_3	122
gyr_reference	N10_B_BR_3	101
gyr_reference	N10_B_BR_3	95.4
gyr_reference	N1_A_BR_1	17.3
gyr_reference	N1_A_BR_1	7.4
gyr_reference	N1_B_BR_1	10.9
gyr_reference	N1_B_BR_1	7.8
gyr_reference	N1_A_BR_2	17.7
gyr_reference	N1_A_BR_2	18.1
gyr_reference	N1_B_BR_2	17.2
gyr_reference	N1_B_BR_2	15.4
gyr_reference	N1_A_BR_3	14
gyr_reference	N1_A_BR_3	14.9
gyr_reference	N1_B_BR_3	12.6
gyr_reference	N1_B_BR_3	7.1
gyr_reference	N0.1_A_BR_1	7.3
gyr_reference	N0.1_A_BR_1	4.7
gyr_reference	N0.1_B_BR_1	11.9
gyr_reference	N0.1_B_BR_1	7.7
gyr_reference	N0.1_A_BR_2	17.6
gyr_reference	N0.1_A_BR_2	15.8
gyr_reference	N0.1_B_BR_2	17.3
gyr_reference	N0.1_B_BR_2	20.1
gyr_reference	N0.1_A_BR_3	21.5
gyr_reference	N0.1_A_BR_3	24.9
gyr_reference	N0.1_B_BR_3	14.4
gyr_reference	N0.1_B_BR_3	13.3
gyr_reference	N0.01_A_BR_1	1.3
gyr_reference	N0.01_A_BR_1	1.7
gyr_reference	N0.01_B_BR_1	3.5
gyr_reference	N0.01_B_BR_1	3.8
gyr_reference	N0.01_A_BR_2	14.6
gyr_reference	N0.01_A_BR_2	12.5
gyr_reference	N0.01_B_BR_2	34.5
gyr_reference	N0.01_B_BR_2	31.8
gyr_reference	N0.01_A_BR_3	40
gyr_reference	N0.01_A_BR_3	44.8
gyr_reference	N0.01_B_BR_3	40.3
gyr_reference	N0.01_B_BR_3	35.6
gyr_reference	ZZPC	219
gyr_reference	ZZPC	219
gyr_reference	ZZPC	247
gyr_reference	ZZPC	256
gyr_reference	ZZPC	246
